prop,cu_high,cu_low
0.357,1766.4120462207832,1573.529783858978
0.358,1766.8681699356391,1573.8663982973778
0.359,1767.3238494510758,1574.2026849213428
0.36,1767.7790888902305,1574.5386467737032
0.361,1768.2338923517223,1574.874286879197
0.362,1768.688263909964,1575.2096082446972
0.363,1769.142207615469,1575.5446138594396
0.364,1769.5957274951556,1575.8793066952464
0.365,1770.048827552645,1576.213689706748
0.366,1770.5015117685593,1576.547765831601
0.367,1770.9537841008134,1576.881537990704
0.368,1771.4056484849036,1577.2150090884118
0.369,1771.8571088341942,1577.548182012745
0.37,1772.3081690401996,1577.8810596356002
0.371,1772.7588329728626,1578.2136448129538
0.372,1773.2091044808317,1578.5459403850673
0.373,1773.6589873917317,1578.877949176687
0.374,1774.1084855124348,1579.209673997244
0.375,1774.5576026293259,1579.5411176410498
0.376,1775.006342508566,1579.8722828874913
0.377,1775.4547088963527,1580.2031725012225
0.378,1775.902705519178,1580.5337892323546
0.379,1776.3503360840814,1580.864135816643
0.38,1776.7976042789026,1581.1942149756744
0.381,1777.24451377253,1581.5240294170494
0.382,1777.6910682151463,1581.8535818345636
0.383,1778.1372712384725,1582.1828749083886
0.384,1778.5831264560084,1582.5119113052485
0.385,1779.0286374632701,1582.8406936785962
0.386,1779.473807838026,1583.1692246687862
0.387,1779.9186411405299,1583.4975069032482
0.388,1780.3631409137506,1583.8255429966553
0.389,1780.8073106836016,1584.153335551094
0.39,1781.2511539591644,1584.4808871562288
0.391,1781.6946742329137,1584.8082003894694
0.392,1782.137874980938,1585.1352778161315
0.393,1782.580759663157,1585.4621219895994
0.394,1783.0233317235395,1585.788735451485
0.395,1783.4655945903173,1586.1151207317869
0.396,1783.9075516761961,1586.4412803490457
0.397,1784.349206378567,1586.7672168104996
0.398,1784.7905620797135,1587.0929326122375
0.399,1785.2316221470169,1587.4184302393517
0.4,1785.6723899331607,1587.7437121660862
0.401,1786.1128687763323,1588.0687808559878
0.402,1786.5530620004222,1588.3936387620524
0.403,1786.992972915222,1588.718288326871
0.404,1787.4326048166213,1589.0427319827747
0.405,1787.8719609868,1589.3669721519777
0.406,1788.3110446944222,1589.6910112467187
0.40700000000000003,1788.749859194826,1590.014851669403
0.40800000000000003,1789.1884077302122,1590.33849581274
0.40900000000000003,1789.6266935298308,1590.6619460598815
0.41000000000000003,1790.0647198101678,1590.9852047845602
0.41100000000000003,1790.5024897751266,1591.308274351223
0.41200000000000003,1790.9400066162116,1591.6311571151655
0.41300000000000003,1791.3772735127084,1591.9538554226667
